account,calculated_weight,reward_current_week,reward_minus1w,reward_minus2w,reward_minus3w,reward_minus4w,total_distribution
0x54A2A9ecE370A53D496Ca7824AACb2163f1Cd26a,921.488189,83572.7541,6613.626763,62503.097,40464.5732,96849.04171,58000.618557
0x2d520C06edB20C0a9E5fcFdd983FeEef93881186,196.7812375,17846.72899,1133.713472,28727.89853,123219.6784,188601.2127,71905.846416
0x0fF991f1d2134FFB5a48E355a5Fa7a1d30E4ed4c,3.780622,342.8768774,1556.938678,1074.791531,98150.83662,72160.69495,34657.227732
0xA983D376c9590c8e7bBa8556B3914c194F07D9EA,0.234384,21.25704554,44.81265112,167825.4595,0,0,33578.305834
0xE11bA5dda920eB64F12a00634e04d41414E227bC,86.2194,7819.517169,0,0,0,0,1563.903434
0x4775c6A8D0d8dB30FcFB9ac56Bf41D3510D392eE,1.095747,99.37685115,187.2821291,0,2061.984907,2206.83618,911.096013
0x8844b3513Fb397e887018286bA6130bD8aFe6927,0.1825,16.55151722,7.458988239,5.507275865,0,0,5.903556
0xfF5298Bea2A52D99bFACBd9b29952198F8432Faa,98.9154,8970.958608,0,0,0,0,1794.191722
0x7f9C8a96289a07A39F97f71Bc8132a60131752cd,98.0343,8891.04879,0,0,0,0,1778.209758
0xa33C5f802c7433647B5Cc6BE5886Da28A9226926,0.076882,6.972678063,7035.616253,8662.476667,18367.89511,12317.69065,9278.130272
0xc2962211E0349Ad7e5b0cB6C4D358c1FbFAedaE8,0.049147,4.457300913,0,3377.102489,10992.94702,64694.88632,15813.878625
0x97af0F60C1894Bf63B440300DDF6b18102f22341,267.117436,24225.74707,0,0,0,0,4845.149414
0x2240234ECEE74B1dC38330a0DFe71Fe3BbEba2D6,0.37752,34.23851386,411.8158254,587.7286558,337.4540592,0,274.247411
0x37881CA83753A16a203D209Ad1D21651612eDb78,0,0,42676.76083,0,1581.309721,0,8851.614109
0x00e5966E89c76851eFbee84680935D14F8B7beCE,0,0,30835.76847,6629.797121,17280.69546,23708.28036,15690.908282
0xd79C571559EDF66077548772b9f3209e8ee99cc7,0,0,1.296814971,0,0,0,0.259363
0x76c3d77EcaC64d54933C084De47a2984baba9bCa,0,0,1628.045297,0,305.98225,144.3482564,415.675161
0xb58639Ac67Ef8562c824E70E405d72185129d008,0,0,311.4998406,0,0,937.7780745,249.855583
0x452c269a8a0CfD08D74AB2b6315be63c9807c259,0,0,138.9862146,532.4903779,1216.225205,503.0477549,478.149910
0xEc1625f0Be12B31d8edfdd165f7750eE4630a475,0,0,225.0325637,0,0,0,45.006513
0x800926fFce634697514A88daeCeCA75480ad830D,0,0,12.08932635,505204.3118,0,0,101043.280226
0x6b2c3C0bE3f96ee35B1148C12225477cAfd7b3F7,0,0,0,87288.10992,0,0,17457.621985
0x108ed2E28290f29D8bAD179eA45a5b5fc813DdAe,0,0,0,117529.3291,0,0,23505.865821
0xc7aDAb846d496BF841EB717e48bD9F724Ec1bc25,0,0,0,3.242972936,3596.697847,7183.022867,2156.592737
0x41E8AdcC6084c9703CA446445fe58B893075788c,0,0,0,0,6841.617413,0,1368.323483
0x91e95FFa1B4F790d68CFeef099461ade4353eFB0,0,0,0,0,642.2172563,0,128.443451
0x3F779e15BD22ecF742cCfC02e0005d37A244Ddce,0,0,0,0,384151.7252,0,76830.345039
0x778e3Db5670c3f04cA797a642978779BDbc7E598,0,0,0,0,3331.796411,0,666.359282
0x1Baa91309867D5272f9492a4644A2b677E13DF88,0,0,0,0,1731.483808,0,346.296762
0x7269CaD927f2D98aBfD06b0Eb1dA318525c6C304,0,0,0,0,0,3291.398834,658.279767
0xAa890D6Cfd710E5C04F87eF0Cd7dA3979D2Ca3D7,0,0,0,0,0,7236.354352,1447.270870
0x6199e5Fa5F627FFE703291418Df9683c3608aB8b,0,0,0,0,0,2321.641548,464.328310
0x902aD7006Ed0D3448B070cD945Bc2393424241C0,0,0,0,0,0,805.8761272,161.175225
0xfE8dC6d47B819e8D926124d93410A2DCE28960EB,0,0,0,0,0,289.4856613,57.897132
0x8D7D500F137DA99b452335b1Fd2ffEa919c205a0,0,0,0,0,0,65.07523525,13.015047
