account,calculated_weight,reward_current_week,reward_minus1w,reward_minus2w,reward_minus3w,reward_minus4w,total_distribution
0x00e5966E89c76851eFbee84680935D14F8B7beCE,260.093587,78460.50406,668.1961861,63623.40944,71909.9789,108993.2398,64731.06567
0xc2962211E0349Ad7e5b0cB6C4D358c1FbFAedaE8,293.1935955,88445.53822,96250.97399,147041.0543,138150.5136,188568.7353,131691.3631
0xc4b258A1f6774bbd42667ea2969cB4175CA1fCd6,0.785365,236.9152369,5805.340996,7662.228073,0,0,2740.896861
0x2d520C06edB20C0a9E5fcFdd983FeEef93881186,111.1064612,33516.66239,42944.00457,37156.24445,19637.74837,47750.02916,36200.93779
0xa33C5f802c7433647B5Cc6BE5886Da28A9226926,278.491954,84010.60303,134217.4796,89671.15373,72357.24034,80041.84645,92059.66462
0xeEa9Cb7ffFf56472f4313eD032A8D4575C80397d,54.69252305,16498.68794,13998.42798,53766.70199,4968.207778,13763.91878,20599.18889
0xAa890D6Cfd710E5C04F87eF0Cd7dA3979D2Ca3D7,3.756,1133.044673,0,192.5001873,0,0,265.1089721
0x41E8AdcC6084c9703CA446445fe58B893075788c,26.57955,8018.055788,0,0,0,0,1603.611158
0xb58639Ac67Ef8562c824E70E405d72185129d008,5.0547,1524.813874,0,0,0,0,304.9627747
0x37881CA83753A16a203D209Ad1D21651612eDb78,250.847852,75671.41173,104726.48,2055.948087,0,0,36490.76797
0x2240234ECEE74B1dC38330a0DFe71Fe3BbEba2D6,4.172,1258.536309,428.6877263,835.4673569,811.2549553,522.3525238,771.2597742
0xfE8dC6d47B819e8D926124d93410A2DCE28960EB,0.30583,92.25746868,244.5715345,0,0,0,67.36580064
0x9bC5bf57Bc6992483af3E30e40A5517200aBC9A3,3.509025,1058.541556,0,0,0,0,211.7083112
0x3B3a968003c690275DC2955AaB4005316d640128,0,0,15763.1589,46974.39675,0,0,12547.51113
0x53b5F97c1357fD8A5C90ca15c40043BB2899E2DC,0,0,6263.623434,7251.005828,0,0,2702.925852
