account,calculated_weight,reward_current_week,reward_minus1w,reward_minus2w,reward_minus3w,reward_minus4w,total_distribution
0x902aD7006Ed0D3448B070cD945Bc2393424241C0,3.820196,902.8710198,0,0,0,0,180.574204
0xc4b258A1f6774bbd42667ea2969cB4175CA1fCd6,32.42014905,7662.228073,0,0,0,0,1532.445615
0x2240234ECEE74B1dC38330a0DFe71Fe3BbEba2D6,3.535,835.4673569,811.2549553,522.3525238,7671.535617,0,1968.122091
0xeEa9Cb7ffFf56472f4313eD032A8D4575C80397d,227.4957723,53766.70199,4968.207778,13763.91878,0,0,14499.76571
0xAa890D6Cfd710E5C04F87eF0Cd7dA3979D2Ca3D7,0.8145,192.5001873,0,0,0,0,38.50003746
0x2d520C06edB20C0a9E5fcFdd983FeEef93881186,157.2141904,37156.24445,19637.74837,47750.02916,199041.5593,333020.2529,127321.1668
0xEc1625f0Be12B31d8edfdd165f7750eE4630a475,0.766,181.0376225,658.3510322,1207.503047,12302.26046,6543.358623,4178.502156
0x63D95ef56dAd0ec1B9982859815C541DdbBea81e,11.57869,2736.525468,0,0,0,0,547.3050937
0x2d3C547120fC08c4F260246D6A43EEa9AEbc4740,0.7354,173.8055712,0,196.5246171,29.61610358,18097.94763,3699.578784
0x01fa2d4a142c28e4E734f8f829a538fC3566A2E5,30.285175,7157.64501,0,0,0,0,1431.529002
0x906ded7c2B37F4bc05Ef033549CeC8a228eD049d,7.886895,1864.000939,0,0,0,0,372.8001878
0x53b5F97c1357fD8A5C90ca15c40043BB2899E2DC,30.6802,7251.005828,0,0,0,0,1450.201166
0x3B3a968003c690275DC2955AaB4005316d640128,198.75641,46974.39675,0,0,0,0,9394.879351
0x00e5966E89c76851eFbee84680935D14F8B7beCE,269.201125,63623.40944,71909.9789,108993.2398,0,0,48905.32562
0xc2962211E0349Ad7e5b0cB6C4D358c1FbFAedaE8,622.1549205,147041.0543,138150.5136,188568.7353,0,0,94752.06066
0xa33C5f802c7433647B5Cc6BE5886Da28A9226926,379.4134215,89671.15373,72357.24034,80041.84645,0,0,48414.04811
0x37881CA83753A16a203D209Ad1D21651612eDb78,8.699055,2055.948087,0,0,0,0,411.1896174
0x9776a4A25E08230aA132865D5FCE43Bc48f0Eb18,2.9999171,709.0050383,1823.100811,2426.595513,0,0,991.7402725
0x94578A2A9b2491c958dcffE25b13Ec7310174474,0.196236,46.37871916,133.4455615,95.69823655,726.7493612,156.2282535,231.7000264
0xAf48ECa52f2642F95ee41E84E7F6e65Ce31688da,3.4305,810.7696656,0,0,0,0,162.1539331
0x02535f81854B731A185a765286F7196C6C2b63a4,0.01375,3.249696226,0,0,0,0,0.6499392451
0xFF22455eAFaE32F1680EacF9EBC962Fd4F22b35d,4.289375,1013.757509,0,0,0,0,202.7515018
0xFEa02486da302CD1a5197881228C57D51cD32Dfe,0.13441,31.76666689,0,0,0,0,6.353333377
0x9469c98Be5AFD94cD601E094bc401dDD37F480a3,0,0,297.9239112,0,0,0,59.58478223
0x4f6D257823cf29c55EAc3B012A04963b0DD005ac,0,0,1872.287604,899.20191,16152.90941,0,3784.879784
0x72Da31304a7245195f4f4cB3bd7607e08fF9648B,0,0,3.433136912,0,0,0,0.6866273825
0x289D2e750AC6765AB42a9e7FD8dCDD5A3402f74a,0,0,1163.990178,861.4328114,99239.17303,23478.2388,24948.56696
0x426814a4f3Af98FEf109cc81aaCFbaef4844532e,0,0,110.5383865,0,0,0,22.10767731
0x3d97fb516396b6a1ab9Fea68DBdCd4A2ad28620D,0,0,2190.505953,0,0,0,438.1011905
0x5690DF030163680F4dA2046798614C3f5C24f64A,0,0,4234.876174,667.0081805,347434.337,219089.7969,114285.2037
0xaf8f691603F576142438Ed78fb8A3316d36D303b,0,0,125.2023751,0,0,0,25.04047501
0xdd0a15E945A9D95c48A1a26bc7894AB2a7B71417,0,0,207.3489284,2346.311314,0,0,510.7320485
0x63AF327b76913FAFC7BDB9b0497682b398980717,0,0,0,162.6343554,10160.39929,12286.18425,4521.843578
0xd5B94e62298a1a84CE2420EDBAbb59676Ed4Be6C,0,0,0,921.2705093,15597.42474,0,3303.73905
0x2b90e228799438EcB1c097592eB9FDf02D192337,0,0,0,215704.1812,0,0,43140.83623
0xAD27b7Dfa07d1e4c933EC5d1ACcf2a6527AD5AcD,0,0,0,13529.87502,0,0,2705.975003
0x314250C124bCD90F0831429400B8E6224bCEdc24,0,0,0,671.40908,0,0,134.281816
0x8ea1EE8b3fC2730fFc8c2A16E27a7148b19EE3f1,0,0,0,701.7795591,23705.65901,59357.23915,16752.93555
0x76c3d77EcaC64d54933C084De47a2984baba9bCa,0,0,0,196.1325722,715.9905003,0,182.4246145
0x5AC8239229D38577d9a1f09C3704fd5B13443006,0,0,0,232.0943366,0,0,46.41886732
0x354C8AC180836e5871dc3fF67761A08115Aa9741,0,0,0,520.5019409,145371.6063,0,29178.42165
0xE596B99Eece300F0BA4b0311Dc57337661aD4B68,0,0,0,1132.203303,0,0,226.4406607
0x596248D42aB9915348658898391e4cA928a08723,0,0,0,224.940744,0,0,44.9881488
0xBB0584655c0FA6cD9bfBC4f61d8151B757F067a7,0,0,0,0,13738.8283,0,2747.76566
0xd79C571559EDF66077548772b9f3209e8ee99cc7,0,0,0,0,31.19484948,0,6.238969896
0x4CB6493479E78b27be8DD150249685bfE0Abf4eF,0,0,0,0,11939.70439,0,2387.940877
0x625f560Aae0348f300BA45BEDf574aD5c1d0c3d3,0,0,0,0,28528.81544,51105.30915,15926.82492
0xe5298d01632A57F9A63A16869A89A69547EB1368,0,0,0,0,0,17413.74279,3482.748559
0x6306bb2De549316e232BBfC64184DE6143ce26d0,0,0,0,0,0,1132.11833,226.4236659
0x7Daf9cDdE6326338743615F4Ee30B766B8aD4036,0,0,0,0,0,2038.016795,407.603359
