account,calculated_weight,reward_current_week,reward_minus1w,reward_minus2w,reward_minus3w,reward_minus4w,total_distribution
0x5690DF030163680F4dA2046798614C3f5C24f64A,59.4188534,347434.337,219089.7969,,,,113304.8268
0x2d520C06edB20C0a9E5fcFdd983FeEef93881186,34.04045015,199041.5593,333020.2529,,,,106412.3624
0x8ea1EE8b3fC2730fFc8c2A16E27a7148b19EE3f1,4.054185,23705.65901,59357.23915,,,,16612.57963
0x289D2e750AC6765AB42a9e7FD8dCDD5A3402f74a,16.9720642,99239.17303,23478.2388,,,,24543.48237
0x4f6D257823cf29c55EAc3B012A04963b0DD005ac,2.7625,16152.90941,0,,,,3230.581882
0xd5B94e62298a1a84CE2420EDBAbb59676Ed4Be6C,2.6675,15597.42474,0,,,,3119.484948
0x2d3C547120fC08c4F260246D6A43EEa9AEbc4740,0.005065,29.61610358,18097.94763,,,,3625.512746
0xBB0584655c0FA6cD9bfBC4f61d8151B757F067a7,2.34963945,13738.8283,0,,,,2747.76566
0xEc1625f0Be12B31d8edfdd165f7750eE4630a475,2.103955,12302.26046,6543.358623,,,,3769.123816
0xd79C571559EDF66077548772b9f3209e8ee99cc7,0.005335,31.19484948,0,,,,6.238969896
0x76c3d77EcaC64d54933C084De47a2984baba9bCa,0.12245,715.9905003,0,,,,143.1981001
0x354C8AC180836e5871dc3fF67761A08115Aa9741,24.861717,145371.6063,0,,,,29074.32126
0x4CB6493479E78b27be8DD150249685bfE0Abf4eF,2.04195,11939.70439,0,,,,2387.940877
0x2240234ECEE74B1dC38330a0DFe71Fe3BbEba2D6,1.312,7671.535617,0,,,,1534.307123
0x63AF327b76913FAFC7BDB9b0497682b398980717,1.73765,10160.39929,12286.18425,,,,4489.316707
0x625f560Aae0348f300BA45BEDf574aD5c1d0c3d3,4.87905,28528.81544,51105.30915,,,,15926.82492
0x94578A2A9b2491c958dcffE25b13Ec7310174474,0.12429,726.7493612,156.2282535,,,,176.5955229
0xe5298d01632A57F9A63A16869A89A69547EB1368,0,0,17413.74279,,,,3482.748559
0x6306bb2De549316e232BBfC64184DE6143ce26d0,0,0,1132.11833,,,,226.4236659
0x7Daf9cDdE6326338743615F4Ee30B766B8aD4036,0,0,2038.016795,,,,407.603359
