account,calculated_weight,reward_current_week,reward_minus1w,reward_minus2w,reward_minus3w,reward_minus4w,total_distribution
0x2d520C06edB20C0a9E5fcFdd983FeEef93881186,191.6726256,188601.2127,47612.08029,33516.66239,42944.00457,37156.24445,69966.040880
0x0fF991f1d2134FFB5a48E355a5Fa7a1d30E4ed4c,73.335848,72160.69495,0,0,0,0,14432.138991
0x4775c6A8D0d8dB30FcFB9ac56Bf41D3510D392eE,2.242775,2206.83618,0,0,0,0,441.367236
0x54A2A9ecE370A53D496Ca7824AACb2163f1Cd26a,98.42625,96849.04171,0,0,0,0,19369.808342
0x7269CaD927f2D98aBfD06b0Eb1dA318525c6C304,3.345,3291.398834,0,0,0,0,658.279767
0xeEa9Cb7ffFf56472f4313eD032A8D4575C80397d,34.05356315,33507.87984,35246.07463,16498.68794,13998.42798,53766.70199,30603.554476
0x00e5966E89c76851eFbee84680935D14F8B7beCE,24.094375,23708.28036,158168.3923,78460.50406,668.1961861,63623.40944,64925.756471
0xc2962211E0349Ad7e5b0cB6C4D358c1FbFAedaE8,65.748457,64694.88632,162455.1412,88445.53822,96250.97399,147041.0543,111777.518812
0xb58639Ac67Ef8562c824E70E405d72185129d008,0.95305,937.7780745,10653.22769,1524.813874,0,0,2623.163929
0x452c269a8a0CfD08D74AB2b6315be63c9807c259,0.51124,503.0477549,0,0,0,0,100.609551
0x76c3d77EcaC64d54933C084De47a2984baba9bCa,0.146699,144.3482564,0,0,0,0,28.869651
0xa33C5f802c7433647B5Cc6BE5886Da28A9226926,12.518287,12317.69065,1847.12428,84010.60303,134217.4796,89671.15373,64412.810249
0xAa890D6Cfd710E5C04F87eF0Cd7dA3979D2Ca3D7,7.3542,7236.354352,0,1133.044673,0,192.5001873,1712.379842
0x6199e5Fa5F627FFE703291418Df9683c3608aB8b,2.35945,2321.641548,0,0,0,0,464.328310
0x902aD7006Ed0D3448B070cD945Bc2393424241C0,0.819,805.8761272,550.2339311,0,446.2642125,902.8710198,541.049058
0xfE8dC6d47B819e8D926124d93410A2DCE28960EB,0.2942,289.4856613,0,92.25746868,244.5715345,0,125.262933
0x8D7D500F137DA99b452335b1Fd2ffEa919c205a0,0.066135,65.07523525,0,0,0,0,13.015047
0xc7aDAb846d496BF841EB717e48bD9F724Ec1bc25,7.3,7183.022867,3853.29776,0,0,0,2207.264125
0x289D2e750AC6765AB42a9e7FD8dCDD5A3402f74a,0,0,20300.70185,0,0,0,4060.140371
0x2d3C547120fC08c4F260246D6A43EEa9AEbc4740,0,0,1301.747424,0,0,173.8055712,295.110599
0x2240234ECEE74B1dC38330a0DFe71Fe3BbEba2D6,0,0,3354.822492,1258.536309,428.6877263,835.4673569,1175.502777
0xc4b258A1f6774bbd42667ea2969cB4175CA1fCd6,0,0,1427.143407,236.9152369,5805.340996,7662.228073,3026.325543
0xe5298d01632A57F9A63A16869A89A69547EB1368,0,0,805.7451733,0,0,0,161.149035
0x41E8AdcC6084c9703CA446445fe58B893075788c,0,0,8627.887576,8018.055788,0,0,3329.188673
0x389f038e41cF38925872145792ee385c24C24407,0,0,7.445441932,0,0,0,1.489088
0x8d6B277da3B132eb6e75393B711abf6AC4FA5db3,0,0,131.0228287,0,0,0,26.204566
0xc966546A8CBcc2E172FbC378FbA84791056d34fD,0,0,261.9465384,0,0,0,52.389308
0xBB0584655c0FA6cD9bfBC4f61d8151B757F067a7,0,0,14.41957338,0,0,0,2.883915
0x37881CA83753A16a203D209Ad1D21651612eDb78,0,0,0,75671.41173,104726.48,2055.948087,36490.767967
0x9bC5bf57Bc6992483af3E30e40A5517200aBC9A3,0,0,0,1058.541556,0,0,211.708311
0x3B3a968003c690275DC2955AaB4005316d640128,0,0,0,0,15763.1589,46974.39675,12547.511130
0x53b5F97c1357fD8A5C90ca15c40043BB2899E2DC,0,0,0,0,6263.623434,7251.005828,2702.925852
0x9776a4A25E08230aA132865D5FCE43Bc48f0Eb18,0,0,0,0,2915.496903,709.0050383,724.900388
0x94578A2A9b2491c958dcffE25b13Ec7310174474,0,0,0,0,55.92674069,46.37871916,20.461092
0x906ded7c2B37F4bc05Ef033549CeC8a228eD049d,0,0,0,0,2039.547596,1864.000939,780.709707
0x596248D42aB9915348658898391e4cA928a08723,0,0,0,0,79.70648551,0,15.941297
0x90F78FE89F83B4075972Fa40e0371f80b1f1c55a,0,0,0,0,99.51248569,0,19.902497
0x134264e3DE66a919b22F1cFf1Da384Ca01Ed47E2,0,0,0,0,2.082404307,0,0.416481
0x625f560Aae0348f300BA45BEDf574aD5c1d0c3d3,0,0,0,0,455.5862527,0,91.117251
0x1FA6D728aDA68e3bE9E4bB14CaF6A0334BD276e7,0,0,0,0,2.758486103,0,0.551697
0x555a50B25bc662A4e6AEB890e4EB835f609603c8,0,0,0,0,2214.102628,0,442.820526
0xEc1625f0Be12B31d8edfdd165f7750eE4630a475,0,0,0,0,0,181.0376225,36.207524
0x63D95ef56dAd0ec1B9982859815C541DdbBea81e,0,0,0,0,0,2736.525468,547.305094
0x01fa2d4a142c28e4E734f8f829a538fC3566A2E5,0,0,0,0,0,7157.64501,1431.529002
0xAf48ECa52f2642F95ee41E84E7F6e65Ce31688da,0,0,0,0,0,810.7696656,162.153933
0x02535f81854B731A185a765286F7196C6C2b63a4,0,0,0,0,0,3.249696226,0.649939
0xFF22455eAFaE32F1680EacF9EBC962Fd4F22b35d,0,0,0,0,0,1013.757509,202.751502
0xFEa02486da302CD1a5197881228C57D51cD32Dfe,0,0,0,0,0,31.76666689,6.353333
