account,calculated_weight,reward_current_week,reward_minus1w,reward_minus2w,reward_minus3w,reward_minus4w,total_distribution
0x5690DF030163680F4dA2046798614C3f5C24f64A,53.7507339,219089.7969,,,,,43817.95937
0x8ea1EE8b3fC2730fFc8c2A16E27a7148b19EE3f1,14.5625,59357.23915,,,,,11871.44783
0x2d520C06edB20C0a9E5fcFdd983FeEef93881186,81.7020384,333020.2529,,,,,66604.05058
0xEc1625f0Be12B31d8edfdd165f7750eE4630a475,1.605325,6543.358623,,,,,1308.671725
0x289D2e750AC6765AB42a9e7FD8dCDD5A3402f74a,5.76007,23478.2388,,,,,4695.64776
0x2d3C547120fC08c4F260246D6A43EEa9AEbc4740,4.44008795,18097.94763,,,,,3619.589525
0xe5298d01632A57F9A63A16869A89A69547EB1368,4.2722275,17413.74279,,,,,3482.748559
0x94578A2A9b2491c958dcffE25b13Ec7310174474,0.0383285,156.2282535,,,,,31.24565069
0x63AF327b76913FAFC7BDB9b0497682b398980717,3.01425,12286.18425,,,,,2457.23685
0x625f560Aae0348f300BA45BEDf574aD5c1d0c3d3,12.538,51105.30915,,,,,10221.06183
0x6306bb2De549316e232BBfC64184DE6143ce26d0,0.27775,1132.11833,,,,,226.4236659
0x7Daf9cDdE6326338743615F4Ee30B766B8aD4036,0.5,2038.016795,,,,,407.603359
